run_id,vehN,pCAV,seed,mean_flow(veh/h),max_flow(veh/h),mean_speed(m/s),det_xml
vehN30_p100_seed1,30,1.0,1,1035.600,1440.000,31.410,out/vehN30_p100_seed1_e1.xml
vehN40_p100_seed1,40,1.0,1,1384.800,1620.000,31.774,out/vehN40_p100_seed1_e1.xml
vehN50_p100_seed1,50,1.0,1,1662.000,1860.000,31.713,out/vehN50_p100_seed1_e1.xml
vehN60_p100_seed1,60,1.0,1,1958.400,2160.000,31.690,out/vehN60_p100_seed1_e1.xml
vehN70_p100_seed1,70,1.0,1,2202.000,2400.000,31.569,out/vehN70_p100_seed1_e1.xml
vehN80_p100_seed1,80,1.0,1,2338.800,2520.000,31.624,out/vehN80_p100_seed1_e1.xml
vehN90_p100_seed1,90,1.0,1,2377.200,2580.000,31.666,out/vehN90_p100_seed1_e1.xml
vehN100_p100_seed1,100,1.0,1,2406.000,2640.000,31.685,out/vehN100_p100_seed1_e1.xml
vehN110_p100_seed1,110,1.0,1,2419.200,2700.000,31.546,out/vehN110_p100_seed1_e1.xml
vehN120_p100_seed1,120,1.0,1,2408.400,2760.000,31.560,out/vehN120_p100_seed1_e1.xml
